customer_id,signup_date
C0001,2025-07-15
C0002,2025-07-04
C0003,2025-09-28
C0004,2024-10-29
C0005,2025-11-17
C0006,2025-06-09
C0007,2025-07-22
C0008,2025-11-16
C0009,2025-06-22
C0010,2024-12-17
C0011,2024-07-08
C0012,2025-04-05
C0013,2025-08-19
C0014,2025-09-03
C0015,2024-09-26
C0016,2025-03-23
C0017,2024-07-15
C0018,2024-07-26
C0019,2025-11-20
C0020,2024-09-11
C0021,2026-01-09
C0022,2025-08-02
C0023,2025-11-18
C0024,2025-05-26
C0025,2024-11-22
C0026,2024-11-11
C0027,2025-07-07
C0028,2025-11-03
C0029,2025-02-12
C0030,2024-10-13
C0031,2024-12-15
C0032,2025-12-05
C0033,2026-01-31
C0034,2025-08-06
C0035,2024-08-16
C0036,2025-09-21
C0037,2025-11-02
C0038,2024-09-26
C0039,2024-08-21
C0040,2025-06-20
C0041,2025-11-25
C0042,2024-08-06
C0043,2025-01-08
C0044,2025-05-13
C0045,2025-09-22
C0046,2025-04-25
C0047,2025-01-21
C0048,2025-08-27
C0049,2024-10-27
C0050,2025-02-15
C0051,2024-11-27
C0052,2025-06-16
C0053,2026-01-02
C0054,2025-09-13
C0055,2024-09-18
C0056,2026-03-19
C0057,2025-09-15
C0058,2026-01-24
C0059,2025-05-11
C0060,2024-11-14
C0061,2025-04-24
C0062,2026-05-28
C0063,2026-03-24
C0064,2025-11-19
C0065,2025-09-13
C0066,2025-01-10
C0067,2025-02-20
C0068,2024-11-14
C0069,2024-10-11
C0070,2025-08-21
C0071,2024-12-24
C0072,2024-10-27
C0073,2025-03-27
C0074,2025-11-09
C0075,2025-09-01
C0076,2026-04-09
C0077,2025-03-20
C0078,2024-08-26
C0079,2025-01-15
C0080,2024-09-29
C0081,2026-02-10
C0082,2025-01-29
C0083,2025-03-10
C0084,2025-04-30
C0085,2025-07-15
C0086,2026-01-29
C0087,2026-01-08
C0088,2025-11-27
C0089,2026-01-26
C0090,2025-05-26
C0091,2026-04-06
C0092,2026-04-19
C0093,2026-03-21
C0094,2025-08-20
C0095,2026-02-10
C0096,2024-11-16
C0097,2024-11-29
C0098,2025-08-30
C0099,2026-01-21
C0100,2026-02-22
C0101,2025-03-24
C0102,2025-11-03
C0103,2026-04-21
C0104,2024-07-24
C0105,2024-10-28
C0106,2026-03-31
C0107,2026-05-21
C0108,2026-02-06
C0109,2025-06-20
C0110,2024-08-30
C0111,2025-08-21
C0112,2025-08-13
C0113,2025-03-17
C0114,2025-09-27
C0115,2025-10-07
C0116,2025-10-18
C0117,2024-09-05
C0118,2024-09-20
C0119,2024-10-24
C0120,2025-08-31
C0121,2024-11-12
C0122,2025-06-03
C0123,2025-10-01
C0124,2025-12-27
C0125,2026-05-08
C0126,2024-11-11
C0127,2024-10-10
C0128,2025-07-11
C0129,2025-10-18
C0130,2025-12-07
C0131,2025-05-04
C0132,2025-11-04
C0133,2024-11-23
C0134,2024-09-07
C0135,2026-05-14
C0136,2025-12-18
C0137,2026-02-27
C0138,2024-10-24
C0139,2024-09-10
C0140,2025-08-28
C0141,2025-01-19
C0142,2026-01-24
C0143,2026-02-23
C0144,2025-09-21
C0145,2025-04-10
C0146,2025-10-17
C0147,2025-09-26
C0148,2025-02-15
C0149,2024-09-14
C0150,2025-12-13
C0151,2025-12-05
C0152,2025-10-18
C0153,2025-08-18
C0154,2026-02-11
C0155,2026-05-28
C0156,2025-09-29
C0157,2024-07-13
C0158,2025-07-20
C0159,2025-03-12
C0160,2024-10-15
C0161,2024-09-24
C0162,2025-05-01
C0163,2025-03-01
C0164,2025-10-25
C0165,2025-10-06
C0166,2026-02-18
C0167,2026-03-09
C0168,2025-04-08
C0169,2025-03-03
C0170,2025-03-04
C0171,2025-12-29
C0172,2025-05-03
C0173,2024-09-09
C0174,2025-05-07
C0175,2026-05-08
C0176,2024-11-23
C0177,2025-08-26
C0178,2025-11-02
C0179,2024-07-11
C0180,2025-01-13
C0181,2025-03-10
C0182,2024-12-11
C0183,2025-06-15
C0184,2025-07-06
C0185,2026-05-10
C0186,2025-01-05
C0187,2024-12-28
C0188,2024-09-08
C0189,2025-04-29
C0190,2025-03-05
C0191,2024-09-17
C0192,2025-11-02
C0193,2025-05-15
C0194,2026-01-04
C0195,2026-03-13
C0196,2024-09-23
C0197,2024-07-01
C0198,2025-05-10
C0199,2025-12-10
C0200,2025-04-13
C0201,2025-10-31
C0202,2025-10-20
C0203,2025-07-14
C0204,2025-06-04
C0205,2025-04-12
C0206,2025-08-24
C0207,2025-09-19
C0208,2025-08-07
C0209,2025-10-07
C0210,2025-05-08
C0211,2024-09-24
C0212,2025-02-05
C0213,2026-05-07
C0214,2024-11-01
C0215,2025-09-24
C0216,2024-08-09
C0217,2026-03-26
C0218,2025-02-22
C0219,2026-05-09
C0220,2025-04-28
C0221,2024-10-23
C0222,2025-06-12
C0223,2025-05-28
C0224,2025-05-06
C0225,2026-05-11
C0226,2025-01-14
C0227,2025-03-11
C0228,2025-03-01
C0229,2025-03-23
C0230,2026-03-01
