order_id,customer_id,order_date,amount,category,is_return
TXN001821,C0476,2025-11-04,731.69,Baby Care,0
TXN001579,C0405,2025-11-06,1801.9,Combos,0
TXN001511,C0391,2024-08-16,304.25,Body Care,0
TXN000752,C0181,2026-02-11,1218.75,Baby Care,0
TXN001409,C0364,2025-07-02,720.1,Combos,1
TXN000698,C0169,2025-10-06,896.03,Face Care,0
TXN000608,C0154,2026-05-10,377.76,Body Care,0
TXN000582,C0148,2025-11-22,1166.5,Baby Care,0
TXN000366,C0097,2025-02-20,317.99,Hair Care,0
TXN000185,C0043,2025-11-13,1341.85,Combos,0
TXN000227,C0055,2024-11-08,1436.4,Combos,0
TXN000594,C0152,2025-10-28,1325.79,Combos,0
TXN000471,C0118,2024-09-30,505.54,Hair Care,0
TXN000546,C0140,2026-03-04,1013.22,Baby Care,0
TXN001006,C0251,2026-04-19,1294.43,Combos,0
TXN000509,C0129,2025-10-24,396.59,Face Care,0
TXN000543,C0140,2025-10-28,822.12,Body Care,0
TXN001484,C0385,2025-03-21,734.36,Hair Care,0
TXN001783,C0463,2024-12-01,894.76,Face Care,0
TXN000892,C0222,2025-06-19,1353.14,Combos,0
TXN000127,C0031,2025-03-15,518.49,Hair Care,0
TXN000325,C0082,2025-10-19,940.7,Combos,0
TXN000049,C0011,2024-09-29,631.61,Baby Care,0
TXN000941,C0236,2025-07-18,512.94,Face Care,0
TXN000642,C0161,2024-10-02,639.67,Face Care,0
TXN001386,C0359,2025-09-29,616.83,Hair Care,0
TXN000898,C0223,2025-05-30,746.23,Hair Care,0
TXN000322,C0081,2026-02-16,822.41,Combos,0
TXN001196,C0304,2025-04-25,1785.14,Combos,1
TXN000860,C0207,2026-02-06,480.17,Baby Care,0
TXN000929,C0233,2026-04-08,528.9,Hair Care,1
TXN001700,C0435,2025-09-04,520.61,Hair Care,0
TXN000168,C0040,2026-06-03,1301.02,Combos,0
TXN000297,C0075,2025-10-10,1303.41,Combos,0
TXN000079,C0017,2025-02-03,634.38,Face Care,0
TXN001907,C0499,2026-05-07,558.55,Body Care,0
TXN001335,C0346,2025-01-06,544.81,Body Care,0
TXN000603,C0153,2025-10-27,565.4,Baby Care,0
TXN001191,C0302,2025-12-09,381.26,Baby Care,0
TXN001738,C0449,2026-03-28,1160.26,Combos,0
TXN001135,C0284,2025-09-01,674.79,Body Care,0
TXN000070,C0015,2026-01-18,893.88,Face Care,0
TXN000758,C0183,2025-06-18,588.72,Body Care,0
TXN000449,C0113,2025-06-27,648.27,Combos,0
TXN000020,C0005,2025-11-28,346.53,Face Care,0
TXN000725,C0175,2026-06-13,352.44,Hair Care,0
TXN000128,C0031,2025-04-26,697.32,Face Care,0
TXN001596,C0411,2026-01-11,1863.21,Combos,0
TXN001867,C0486,2024-11-21,498.71,Face Care,0
TXN000559,C0142,2026-02-02,990.13,Body Care,0
TXN000639,C0160,2025-06-13,643.22,Combos,0
TXN001100,C0272,2026-06-29,316.11,Body Care,0
TXN001587,C0406,2025-11-07,973.81,Combos,0
TXN001069,C0266,2026-06-23,1189.65,Combos,0
TXN001464,C0380,2026-02-11,653.62,Hair Care,0
TXN001398,C0361,2025-05-11,978.52,Combos,1
