month,app_name,txn_volume,txn_value
2024-01-01,PhonePe,3325611356,2923739930795
2024-01-01,Google Pay,3154516632,2933172168068
2024-01-01,Paytm,2019450085,1465586095522
2024-01-01,CRED,337880999,773413932209
2024-01-01,Amazon Pay,644409229,624629363138
2024-01-01,BHIM,539512506,313603608952
2024-01-01,Mobikwik,336159742,161718288040
2024-01-01,Freecharge,220554399,118069365097
2024-01-01,WhatsApp Pay,221296690,174523554379
2024-01-01,Others,322033824,203207882862
2024-02-01,PhonePe,3349976118,2776773682279
2024-02-01,Google Pay,3022277198,2669443303565
2024-02-01,Paytm,1899953197,1270480631719
2024-02-01,CRED,328199802,750542531128
2024-02-01,Amazon Pay,652053402,625509939233
2024-02-01,BHIM,532546635,327096908136
2024-02-01,Mobikwik,323627089,163783824735
2024-02-01,Freecharge,213535272,116606422134
2024-02-01,WhatsApp Pay,213674811,168587074872
2024-02-01,Others,323877135,211328099932
2024-03-01,PhonePe,3420928484,2843109832931
2024-03-01,GPay,3298535213,2987207260249
2024-03-01,Paytm,2034096814,1438868456745
2024-03-01,CRED,350643513,741146234618
2024-03-01,Amazon Pay,659526712,643868217540
2024-03-01,BHIM,536002772,326453039547
2024-03-01,Mobikwik,331258003,158887034196
2024-03-01,Freecharge,214840214,113014643984
2024-03-01,WhatsApp Pay,221024389,171794170434
2024-03-01,Others,328543010,206977863258
2024-04-01,PhonePe,3582765030,2901848149435
2024-04-01,Google Pay,3380855635,2927456352540
2024-04-01,Paytm,2033921493,1453161386770
2024-04-01,CRED,382395646,858629801134
2024-04-01,Amazon Pay,647003453,592071172039
2024-04-01,BHIM,533006848,309274110965
2024-04-01,Mobikwik,330652013,161529672217
2024-04-01,Freecharge,216306414,119268454002
2024-04-01,WhatsApp Pay,217635529,177970915605
2024-04-01,Others,329870432,205010023257
2024-05-01,PhonePe,3738814340,3097154730309
2024-05-01,Google Pay,3479963285,3111258235778
2024-05-01,Paytm,2001709116,1333156530316
2024-05-01,CRED,395364991,835000252902
2024-05-01,Amazon Pay,670223017,623352968366
2024-05-01,BHIM,530039027,326316806646
2024-05-01,Mobikwik,322246979,166811255314
2024-05-01,WhatsApp Pay,205490441,167567217171
2024-05-01,Others,316308788,212525016060
2024-06-01,PhonePe,3773565711,3270945875281
2024-06-01,Google Pay,3481925294,3105953082708
2024-06-01,Paytm,2058764892,1504254260383
2024-06-01,CRED,391853249,882408256135
2024-06-01,Amazon Pay,654455959,594695580252
2024-06-01,BHIM,532205635,334960435907
2024-06-01,Mobikwik,308958557,159155468270
2024-06-01,WhatsApp Pay,206931712,167548421634
2024-06-01,Others,320648117,199353984131
2024-07-01,PhonePe,3836457268,3110634730012
2024-07-01,GPay,3573395421,3259886696935
2024-07-01,Paytm,2018040242,1387877219823
2024-07-01,CRED,405921053,904942654838
2024-07-01,Amazon Pay,638156584,631062422271
2024-07-01,BHIM,523472984,325393253902
2024-07-01,Mobikwik,318372782,164309154459
2024-07-01,Freecharge,200629447,111924193485
2024-07-01,WhatsApp Pay,203690141,160011234189
2024-07-01,Others,310803477,207059663595
2024-08-01,PhonePe,4037327158,3320343933622
2024-08-01,Google Pay,3737102836,3253913963703
2024-08-01,Paytm,2047671480,1463632059344
2024-08-01,CRED,429634720,960694302964
2024-08-01,Amazon Pay,673032251,645771144205
2024-08-01,BHIM,538358497,325271274679
2024-08-01,Mobikwik,306804325,153973730709
2024-08-01,Freecharge,197923244,106136865814
2024-08-01,WhatsApp Pay,206949039,167630584295
2024-08-01,Others,312566838,208338974054
2024-08-01,Paytm,2047671480,1463632059344
2024-09-01,PhonePe,4149262863,3356258318601
2024-09-01,Google Pay,3828858248,3353101850132
2024-09-01,Paytm,2093114584,1410502109445
2024-09-01,CRED,451070863,1027947908879
2024-09-01,Amazon Pay,642853661,603293691774
2024-09-01,BHIM,530517587,318704852907
2024-09-01,Mobikwik,302320255,149801371949
2024-09-01,Freecharge,196034150,105661414620
2024-09-01,WhatsApp Pay,199816574,161523852439
2024-09-01,Others,316451490,200702404287
2024-10-01,PhonePe,4731257037,3861722241061
2024-10-01,Google Pay,4483537414,4046002057430
2024-10-01,Paytm,2301433859,1629094313112
2024-10-01,CRED,525536583,1157074250080
2024-10-01,Amazon Pay,737684012,691126764443
2024-10-01,BHIM,575096064,337614013513
2024-10-01,Mobikwik,345266850,167050374581
2024-10-01,Freecharge,225523270,129553939100
2024-10-01,WhatsApp Pay,220392234,173554924441
2024-10-01,Others,339591641,214205291664
2024-11-01,PhonePe,4956285937,4011346501487
2024-11-01,Google Pay,4568679274,3973279987975
2024-11-01,Paytm,2351996990,1656184474462
2024-11-01,CRED,549370676,1211402769729
2024-11-01,Amazon Pay,727127843,682013685273
2024-11-01,BHIM,568603924,357725906675
2024-11-01,Mobikwik,335457671,169935396776
2024-11-01,Freecharge,209197579,115856234696
2024-11-01,WhatsApp Pay,219523800,177463903039
2024-11-01,Others,345142007,219482584260
2024-12-01,PhonePe,4375642759,3756838816136
2024-12-01,Google Pay,4173033502,3744584685340
2024-12-01,Paytm,2050759619,1400880045451
2024-12-01,CRED,484154672,1070407175564
2024-12-01,Amazon Pay,629244598,570143038630
2024-12-01,BHIM,511750308,309773810044
2024-12-01,Mobikwik,291363207,146416986173
2024-12-01,WhatsApp Pay,186033287,145623909339
2024-12-01,Others,299440198,197459446538
2025-01-01,PhonePe,4612033468,3926635985837
2025-01-01,Google Pay,4171396065,3735475369407
2025-01-01,Paytm,2080429866,1467862586330
2025-01-01,CRED,510656571,1113174264635
2025-01-01,Amazon Pay,621484712,602235221947
2025-01-01,BHIM,513465870,293360992864
2025-01-01,Mobikwik,296916009,153729971474
2025-01-01,Freecharge,185429093,97753618116
2025-01-01,WhatsApp Pay,181849346,144611178641
2025-01-01,Others,283294889,175419197280
2025-02-01,PhonePe,4610747796,4036090787718
2025-02-01,Google Pay,4099175567,3855790307477
2025-02-01,Paytm,2041983959,1493043668648
2025-02-01,CRED,500818113,1089921233393
2025-02-01,Amazon Pay,625045576,588973555938
2025-02-01,BHIM,487849249,278075579916
2025-02-01,Mobikwik,274276130,137725283922
2025-02-01,Freecharge,174854716,100436995352
2025-02-01,WhatsApp Pay,176753486,139767599107
2025-02-01,Others,279651520,177424729025
2025-03-01,PhonePe,4907776605,4247988376709
2025-03-01,GPay,4310220469,3954569015194
2025-03-01,Paytm,2138661378,1477292357097
2025-03-01,CRED,558831590,1288857996397
2025-03-01,Amazon Pay,629702525,587908091936
2025-03-01,BHIM,500382303,315006469803
2025-03-01,Mobikwik,276460863,141817079618
2025-03-01,Freecharge,170615790,92291507281
2025-03-01,WhatsApp Pay,174751924,144790666531
2025-03-01,Others,281476951,191163793098
2025-04-01,PhonePe,4909008479,4093738351545
2025-04-01,Google Pay,4391537667,4036147984520
2025-04-01,Paytm,2131143378,1551657519142
2025-04-01,CRED,573606955,1253686472733
2025-04-01,Amazon Pay,620366307,601312222094
