listing_id,locality_name,bhk,sqft,floor,total_floors,furnishing,rent
L00135,HSR Layout,1,563,3,5,Unfurnished,"₹17,627"
L00111,Marathahalli,1,564,0,15,Semi-Furnished,14507
L00651,Bannerghatta Road,2,862,2,9,Fully-Furnished,201340
L00787,HSR Layout,1,685,6,11,Unfurnished,21609
L00757,Malleshwaram,3,1631,2,4,Semi-Furnished,54911
L00001,Bannerghatta Road,1,640,5,13,Fully-Furnished,17k
L00386,Malleshwaram,2,946,0,5,Unfurnished,26882
L00062,Hebbal,2,1163,3,4,Semi-Furnished,31925
L00517,Bannerghatta Road,3,1308,7,7,Unfurnished,25737
L00640,Yelahanka,3,1628,6,8,Unfurnished,26913
L00141,Bannerghatta Road,3,1484,5,12,Semi-Furnished,30362
L00696,Rajajinagar,2,986,15,15,Unfurnished,22k
L00477,Hebbal,1,606,0,6,Semi-Furnished,16594
L00396,Indiranagar,2,1097,17,17,Unfurnished,39792
L00608,Jayanagar,2,1037,5,9,Fully-Furnished,34536
L00460,Sarjapur Road,2,956,7,15,Fully-Furnished,28470
L00395,Yelahanka,3,,4,18,Fully-Furnished,31209
L00429,Electronic City,1,658,4,4,Fully-Furnished,16351
L00754,Marathahalli,2,913,1,6,Fully-Furnished,27386
L00644,Bannerghatta Road,4,2054,13,18,Fully-Furnished,52338
L00187,Yelahanka,2,1078,2,17,Semi-Furnished,19818
L00225,Indiranagar,1,567,12,14,Semi-Furnished,20454
L00318,Electronic City,2,1242,1,4,Unfurnished,21535
L00639,Malleshwaram,3,1438,16,18,Fully-Furnished,47984
L00735,Rajajinagar,4,2163,5,7,Fully-Furnished,62231
L00293,Koramangala,1,584,5,8,Semi-Furnished,21285
L00718,Jayanagar,3,1357,0,3,Semi-Furnished,43115
L00202,HSR Layout,3,1355,4,14,Fully-Furnished,49980/-
L00402,JP Nagar,2,1060,9,10,Semi-Furnished,30409
L00331,Jayanagar,2,1022,3,3,Unfurnished,26814
L00208,Yelahanka,2,988,12,16,Unfurnished,17470
L00647,Whitefield,3,1416,8,11,Semi-Furnished,41318
L00442,Hebbal,2,883,10,11,Unfurnished,20264
L00291,Malleshwaram,2,1083,9,17,Unfurnished,29119
L00010,Yelahanka,3,1463,13,17,Fully-Furnished,35214
L00292,Bannerghatta Road,2,1057,5,8,Fully-Furnished,29245
L00609,Marathahalli,4,1874,3,14,Fully-Furnished,54592
L00218,Sarjapur Road,1,567,4,6,Unfurnished,14034
L00415,BTM Layout,1,681,3,5,Unfurnished,15652
L00505,Malleshwaram,3,1457,11,12,Fully-Furnished,47933
L00171,Hebbal,2,923,3,4,Semi-Furnished,25355
L00426,Bannerghatta Road,2,885,3,9,Fully-Furnished,24016
L00097,Electronic City,2,1114,1,15,Fully-Furnished,25826
L00309,Sarjapur Road,2,906,3,4,Semi-Furnished,24493
L00249,Hebbal,3,1428,7,7,Fully-Furnished,"₹44,197"
L00538,Indiranagar,1,557,5,13,Fully-Furnished,21793
