mandi_id,price_date,commodity,arrivals,min_price,max_price,modal_price
M1,2024-01-01,Onion,2558,855,1045,914
M1,2024-01-03,Onion,2748,961,1114,1048
M1,2024-01-04,Onion,2606,888,1162,1041
M1,2024-01-05,Onion,2682,924,1103,1042
M1,2024-01-06,Onion,2436,775,956,910
M1,2024-01-07,Onion,3120,795,1008,918
M1,2024-01-08,Onion,2705,884,1087,951
M1,2024-01-09,Onion,3364,863,1062,967
M1,2024-01-10,Onion,3098,812,1048,931
M1,2024-01-11,Onion,3135,837,1060,969
M1,2024-01-12,Onion,2959,873,1166,1018
M1,2024-01-14,Onion,3164,835,1043,975
M1,2024-01-15,Onion,2895,997,1167,1054
M1,2024-01-16,Onion,2689,978,1102,1043
M1,2024-01-17,Onion,2326,795,1013,916
M1,2024-01-19,Onion,3225,857,953,903
M1,2024-01-20,Onion,3271,914,1031,972
M1,2024-01-21,Onion,3382,877,1044,929
M1,2024-01-23,Onion,3088,847,1062,924
M1,2024-01-24,Onion,2899,898,1131,1008
M1,2024-01-24,Onion,2899,898,1131,1008
M1,2024-01-26,Onion,3048,811,1027,903
M1,2024-01-28,Onion,2616,883,1128,1017
M1,2024-01-29,Onion,2339,842,1019,964
M1,2024-01-30,Onion,3012,942,1169,1021
M1,2024-01-31,Onion,2329,887,1076,1023
M1,2024-02-01,Onion,2995,720,941,847
M1,2024-02-02,Onion,3636,776,892,840
M1,2024-02-04,Onion,2982,851,1024,930
M1,2024-02-05,Onion,2877,890,1040,938
M1,2024-02-07,Onion,3481,788,1006,882
M1,2024-02-08,Onion,2618,814,1025,938
M1,2024-02-09,Onion,3405,740,926,857
M1,2024-02-10,Onion,3403,812,970,920
M1,2024-02-11,Onion,2592,842,966,898
M1,2024-02-12,Onion,3517,908,1025,966
M1,2024-02-13,Onion,3552,845,1083,944
M1,2024-02-14,Onion,3540,821,1014,921
M1,2024-02-15,Onion,3626,876,1062,970
M1,2024-02-16,Onion,2948,793,932,852
M1,2024-02-17,Onion,2574,789,947,882
M1,2024-02-18,Onion,2728,870,1026,970
M1,2024-02-19,Onion,2596,894,1051,968
M1,2024-02-20,Onion,3561,816,989,861
M1,2024-02-22,Onion,3055,802,960,882
M1,2024-02-23,Onion,2946,822,1039,905
M1,2024-02-24,Onion,2523,814,970,860
M1,2024-02-25,Onion,2657,924,1121,978
M1,2024-02-27,Onion,3680,920,1033,970
M1,2024-02-29,Onion,3084,823,1024,907
M1,2024-03-01,Onion,2504,938,1100,1011
M1,2024-03-01,Onion,2504,938,1100,1011
M1,2024-03-02,Onion,2296,950,1158,1014
M1,2024-03-03,Onion,2348,948,1056,1003
M1,2024-03-04,Onion,3415,959,1122,1029
M1,2024-03-06,Onion,3370,850,1104,969
M1,2024-03-07,Onion,3217,965,1091,1036
M1,2024-03-10,Onion,2409,920,1126,1048
M1,2024-03-13,Onion,3133,911,1142,994
M1,2024-03-14,Onion,2798,881,1071,962
M1,2024-03-15,Onion,3102,876,1115,980
M1,2024-03-16,Onion,3214,944,1137,1012
M1,2024-03-17,Onion,2788,884,1057,980
M1,2024-03-18,Onion,2491,821,1038,912
M1,2024-03-19,Onion,2989,914,1083,1015
M1,2024-03-20,Onion,2390,858,1061,991
M1,2024-03-21,Onion,2897,964,1178,1032
M1,2024-03-22,Onion,2825,844,969,905
M1,2024-03-23,Onion,3120,853,971,903
M1,2024-03-24,Onion,2850,928,1186,1047
M1,2024-03-25,Onion,3094,867,1053,975
M1,2024-03-26,Onion,2392,807,1049,938
M1,2024-03-27,Onion,2860,932,1121,1004
M1,2024-03-28,Onion,3233,966,1141,1048
M1,2024-03-29,Onion,2941,832,1060,964
M1,2024-03-30,Onion,2968,883,1140,1002
M1,2024-04-01,Onion,2543,1011,1236,1121
M1,2024-04-02,Onion,2393,1103,1350,1253
M1,2024-04-03,Onion,2476,1099,1305,1196
M1,2024-04-04,Onion,2699,1020,1288,1168
M1,2024-04-05,Onion,2715,933,1179,1080
M1,2024-04-06,Onion,2096,1007,1156,1075
M1,2024-04-08,Onion,2735,1096,1420,1254
M1,2024-04-11,Onion,1960,989,1229,1117
M1,2024-04-12,Onion,2068,991,1202,1128
M1,2024-04-13,Onion,2338,1003,1204,1120
M1,2024-04-14,Onion,2010,992,1227,1108
M1,2024-04-15,Onion,2836,1057,1250,1154
M1,2024-04-16,Onion,2358,1162,1382,1239
M1,2024-04-17,Onion,2497,1106,1350,1201
M1,2024-04-18,Onion,2457,998,1322,1155
M1,2024-04-21,Onion,2046,1097,1322,1177
M1,2024-04-22,Onion,2236,1115,1393,1243
M1,2024-04-23,Onion,2602,1101,1296,1218
M1,2024-04-24,Onion,2876,977,1193,1091
M1,2024-04-25,Onion,1986,1149,1296,1234
M1,2024-04-26,Onion,2727,1117,1295,1227
M1,2024-04-27,Onion,2658,1151,1393,1229
M1,2024-04-28,Onion,2037,996,1301,1154
M1,2024-04-29,Onion,2554,1105,1321,1176
M1,2024-04-30,Onion,2640,1089,1304,1221
M1,2024-05-01,Onion,1773,1293,1545,1392
M1,2024-05-02,Onion,1830,1305,1539,1414
M1,2024-05-03,Onion,1821,1150,1468,1317
M1,2024-05-04,Onion,2021,1257,1599,1431
M1,2024-05-06,Onion,1751,1338,1494,1416
M1,2024-05-08,Onion,2190,1253,1530,1432
M1,2024-05-09,Onion,2052,1402,1588,1509
M1,2024-05-11,Onion,1619,1225,1473,1343
M1,2024-05-12,Onion,1862,1241,1544,1350
M1,2024-05-13,Onion,2114,1263,1525,1405
M1,2024-05-14,Onion,1955,1253,1497,1396
M1,2024-05-15,Onion,1974,1137,1508,1322
M1,2024-05-17,Onion,1773,1254,1521,1353
M1,2024-05-18,Onion,1640,1211,1482,1402
M1,2024-05-19,Onion,1803,1258,1498,1345
M1,2024-05-20,Onion,2283,1270,1561,1405
M1,2024-05-21,Onion,2249,1345,1606,1499
M1,2024-05-22,Onion,2082,1353,1567,1486
M1,2024-05-24,Onion,1953,1212,1474,1332
M1,2024-05-25,Onion,1670,1273,1548,1449
M1,2024-05-27,Onion,1741,1252,1503,1341
M1,2024-05-28,Onion,1671,1167,1478,1372
M1,2024-05-29,Onion,1913,1315,1602,1496
M1,2024-05-30,Onion,1934,1273,1577,1481
M1,2024-05-31,Onion,2105,1307,1553,1458
M1,2024-06-01,Onion,1702,1439,1789,1632
M1,2024-06-02,Onion,1988,1664,1911,1766
M1,2024-06-04,Onion,1872,1374,1657,1576
M1,2024-06-05,Onion,1505,1614,1846,1703
M1,2024-06-06,Onion,1996,1671,1921,1781
M1,2024-06-07,Onion,1738,1457,1813,1654
M1,2024-06-08,Onion,1795,1517,1951,1740
M1,2024-06-09,Onion,1879,1547,1973,1736
M1,2024-06-10,Onion,1563,1376,1652,1544
M1,2024-06-11,Onion,2024,1463,1789,1581
M1,2024-06-13,Onion,1631,1643,1945,1791
M1,2024-06-14,Onion,1584,1498,1772,1681
M1,2024-06-15,Onion,1517,1544,1991,1771
M1,2024-06-16,Onion,1546,1429,1736,1632
M1,2024-06-16,Onion,1546,1429,1736,1632
M1,2024-06-17,Onion,1448,1534,1922,1785
M1,2024-06-18,Onion,1933,1475,1890,1696
M1,2024-06-19,Onion,1409,1330,1682,1539
M1,2024-06-20,Onion,1393,1503,1978,1752
M1,2024-06-21,Onion,1372,1453,1701,1566
M1,2024-06-22,Onion,1491,1547,1986,1788
M1,2024-06-24,Onion,1998,1546,1943,1705
M1,2024-06-26,Onion,1816,1590,1827,1708
M1,2024-06-27,Onion,1506,1587,1804,1671
M1,2024-06-28,Onion,1395,1605,1864,1694
M1,2024-06-29,Onion,1618,1576,1979,1789
M1,2024-06-30,Onion,2020,1397,1639,1530
M1,2024-07-01,Onion,1446,1750,2091,1896
M1,2024-07-02,Onion,1490,1748,2176,1927
M1,2024-07-03,Onion,1357,1832,2071,1946
M1,2024-07-04,Onion,1615,1619,2083,1839
M1,2024-07-05,Onion,1664,1711,2013,1907
M1,2024-07-06,Onion,1640,1531,1951,1752
M1,2024-07-07,Onion,1292,1610,2079,1818
M1,2024-07-08,Onion,1563,1716,2058,1810
M1,2024-07-09,Onion,1693,1718,2080,1858
M1,2024-07-10,Onion,1331,1779,2085,1878
M1,2024-07-11,Onion,1645,1783,2139,1918
M1,2024-07-12,Onion,1490,1703,2020,1850
M1,2024-07-13,Onion,1749,1684,1906,1777
M1,2024-07-14,Onion,1562,1601,2057,1857
M1,2024-07-15,Onion,1721,1709,2110,1869
M1,2024-07-16,Onion,1709,1711,2082,1874
